Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
80,23,40,17,1,8,2,6,0,0,0,0,35,11,31,0,0,18,10,3,5,60,0,0,9,5,3,2,41,2,0,2,44,32,12,7
2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,2,2,0
97,1,68,28,0,3,1,1,1,0,2,0,26,16,36,0,0,20,10,8,2,188,0,1,92,7,10,1,77,8,0,5,189,98,91,8
4,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0
9,1,6,2,0,0,0,0,0,0,0,0,5,1,7,0,0,1,0,1,0,6,0,0,1,0,0,0,5,2,0,0,2,1,1,0
11,0,6,5,0,1,0,1,0,0,0,0,6,3,2,0,0,4,0,3,1,16,0,0,0,2,3,0,11,0,0,1,16,9,7,1
108,23,60,25,3,10,5,5,0,0,6,0,46,24,89,0,0,22,4,13,5,233,1,1,84,16,28,4,99,14,5,11,197,119,78,21
152,13,92,47,0,13,7,6,0,0,1,0,9,13,85,0,0,34,2,10,22,231,0,1,22,64,35,8,100,5,2,17,355,191,164,16
16,5,8,3,0,2,2,0,0,0,0,0,5,2,5,0,0,0,0,0,0,21,0,0,9,0,0,0,12,2,0,2,27,15,12,1
187,12,102,73,0,21,8,0,2,0,0,0,48,38,96,0,0,26,25,1,0,478,12,0,0,1,43,5,415,16,1,2,319,187,132,1
57,8,19,30,1,2,0,1,1,0,0,0,30,13,25,0,0,5,2,3,0,68,0,0,6,13,4,1,44,3,0,4,81,42,39,5
50,11,31,8,0,3,2,1,0,0,0,0,10,0,10,0,0,2,1,1,0,52,0,0,2,3,6,0,41,1,0,2,27,16,11,2
4,3,1,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,10,0,0,0,1,1,2,6,0,0,1,56,30,26,3
57,14,36,7,0,13,6,7,0,0,0,0,18,20,66,0,0,8,0,8,0,108,0,0,38,1,4,0,65,4,0,2,95,70,25,7
304,77,211,16,4,14,12,0,0,2,1,0,73,36,125,0,0,19,4,14,1,308,0,1,27,0,17,1,262,11,3,8,263,162,101,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,2,0
1276,429,663,184,6,25,18,5,1,1,17,0,375,89,138,67,0,358,122,163,67,1744,3,1,568,193,482,140,353,364,106,137,941,573,368,162
286,146,60,80,1,18,10,0,2,1,7,0,151,24,142,0,0,24,10,6,8,144,0,0,16,0,1,1,126,21,7,1,82,67,15,12
86,22,39,25,4,6,4,2,0,0,0,0,46,2,43,0,0,10,3,6,1,42,0,0,3,13,11,1,13,2,1,3,84,46,38,4
933,266,306,361,1,48,27,2,19,0,4,0,192,91,557,0,1,110,10,44,56,1286,0,3,285,67,152,1,778,108,13,30,536,346,190,34
